Date,Price,Open,Vol.
12/23/2022,1804.2,1801,105.46
12/22/2022,1795.3,1823.8,175.77
12/21/2022,1825.4,1827.9,110.18
12/20/2022,1825.4,1796.8,197.5
12/19/2022,1797.7,1801.6,86.09
12/16/2022,1800.2,1786.9,128.75
12/15/2022,1787.8,1818.7,185.32
12/14/2022,1818.7,1822.6,143.8
12/13/2022,1825.5,1792.3,230.91
12/12/2022,1792.3,1808,107.78
12/9/2022,1810.7,1801.9,150.94
12/8/2022,1801.5,1799.5,116.27
12/7/2022,1798,1783.3,155.57
12/6/2022,1782.4,1780.8,127.86
12/5/2022,1781.3,1810.5,179.82
12/2/2022,1809.6,1817,183.72
12/1/2022,1815.2,1783.1,226.15
11/30/2022,1759.9,1763.4,192.24
11/29/2022,1763.7,1754.6,127.32
11/23/2022,1745.6,1740.8,167.77
11/22/2022,1739.9,1739.7,153.09
11/21/2022,1739.6,1752,166.08
11/18/2022,1754.4,1763.1,137.33
11/17/2022,1763,1777,169.1
11/16/2022,1775.8,1782,200.76
11/15/2022,1776.8,1774,283.02
11/14/2022,1776.9,1769.4,191.35
11/11/2022,1769.4,1758.3,227.04
11/10/2022,1753.7,1709.7,305.72
11/9/2022,1713.7,1715.2,239.65
11/8/2022,1716,1678,297.62
11/7/2022,1680.5,1678.6,187.59
11/4/2022,1676.6,1631.7,293.52
11/3/2022,1630.9,1639.1,254.7
11/2/2022,1650,1651.4,220.93
11/1/2022,1649.7,1636.1,197.98
10/31/2022,1640.7,1647.2,128.41
10/28/2022,1644.8,1667.2,196.36
10/27/2022,1660.3,1664.1,2.3
10/26/2022,1664.4,1652.3,0.32
10/25/2022,1653.3,1649.6,0.59
10/24/2022,1649.2,1662,0.15
10/21/2022,1651.5,1626.1,0.64
10/20/2022,1631.8,1628.9,0.5
10/19/2022,1629,1652.4,0.3
10/18/2022,1650.7,1651,0.72
10/17/2022,1658.9,1646.3,0.6
10/14/2022,1643.7,1665.6,0.64
10/13/2022,1677,1680.2,237.01
10/12/2022,1677.5,1673.4,131.77
10/11/2022,1686,1675.6,171.81
10/10/2022,1675.2,1703.4,157.15
10/7/2022,1709.3,1721,157.45
10/6/2022,1720.8,1725.5,139.44
10/5/2022,1720.8,1734.4,173.22
10/4/2022,1730.5,1708.4,205.08
10/3/2022,1702,1670.5,215.49
9/30/2022,1672,1669.5,179.99
9/29/2022,1668.6,1669,201.96
9/28/2022,1665.1,1631.4,1.9
9/27/2022,1631.1,1626.7,0.83
9/26/2022,1628.2,1643,0.64
9/23/2022,1650,1674.6,1.36
9/22/2022,1676.1,1674.3,0.32
9/21/2022,1670.5,1666.8,0.17
9/20/2022,1665.7,1682.3,0.07
9/19/2022,1672.6,1680.2,0.18
9/16/2022,1677.9,1665.6,0.32
9/15/2022,1671.4,1695,0.28
9/14/2022,1703.2,1704,0.17
9/13/2022,1712,1733.4,0.22
